Vehicle ID,Start Frame,End Frame,Frames Elapsed,Speed
2,66,181,115,110.8
3,142,252,110,115.9
10,1065,1186,121,105.3
11,1181,1317,136,93.7
17,1321,1440,119,107.1
13,1342,1474,132,96.5
12,1406,1540,134,95.1
20,1497,1623,126,101.1
24,1700,1823,123,103.6
42,3086,3234,148,86.1
63,3364,3517,153,83.3
75,4125,4280,155,82.2
85,5598,5714,116,109.9
87,6263,6383,120,106.2
104,7419,7541,122,104.5
115,8408,8566,158,80.7
118,8598,8720,122,104.5
122,8585,8757,172,74.1
131,8798,8939,141,90.4
137,9041,9179,138,92.3
144,9157,9290,133,95.8
164,10941,11064,123,103.6
168,11187,11303,116,109.9
184,12477,12610,133,95.8
190,12778,12912,134,95.1
199,15005,15116,111,114.8
207,15197,15318,121,105.3
236,16289,16408,119,107.1
243,16779,16901,122,104.5
250,16852,16995,143,89.1
252,16986,17121,135,94.4
253,17038,17174,136,93.7
265,17277,17392,115,110.8
267,17343,17480,137,93.0
283,17834,17964,130,98.0
